Roanoke-Blacksburg Regional Airport                    Roanoke                     United States               ROA  KROA   37.32051     -79.97038           5    -5
Port Moller Airport                                    Cold Bay                    United States               PML  PAAL   56.0060005188 -160.561004639    20    -9
Prospect Creek Airport                                 Prospect Creek              United States               PPC  PAPR   66.8141021729-150.6439971924  1095    -9
Petersburg James A Johnson Airport                     Petersburg                  United States               PSG  PAPG     56.80170059   -132.9450073   111    -9
Port Heiden Airport                                    Port Heiden                 United States               PTH  PAPH   56.9590988159-158.6329956055    95    -9
Platinum Airport                                       Port Moller                 United States               PTU  PAPM   59.0113983154-161.8200073242    15    -9
Ruby Airport                                           Ruby                        United States               RBY  PARY     64.72720337   -155.4700012   658    -9
Russian Mission Airport                                Russian Mission             United States               RSH  PARS   61.7788848877 -161.319458008    51    -9
Deadhorse Airport                                      Deadhorse                   United States               SCC  PASC     70.19470215   -148.4649963    65    -9
Scammon Bay Airport                                    Scammon Bay                 United States               SCM  PACM   61.8452987671 -165.570999146    14    -9
Sand Point Airport                                     Sand Point                  United States               SDP  PASD   55.3149986267-160.5229949951    21    -9
Skagway Airport                                        Skagway                     United States               SGY  PAGY   59.4600982666-135.3159942627    44    -9
Shungnak Airport                                       Shungnak                    United States               SHG  PAGH   66.8880996704-157.1620025635   197    -9
Shishmaref Airport                                     Shishmaref                  United States               SHH  PASH       66.249604    -166.089112    12    -9
Shageluk Airport                                       Shageluk                    United States               SHX  PAHX   62.6922988892 -159.569000244    79    -9
Sitka Rocky Gutierrez Airport                          Sitka                       United States               SIT  PASI   57.0471000671-135.3619995117    21    -9
Shaktoolik Airport                                     Shaktoolik                  United States               SKK  PFSH     64.37110138    -161.223999    24    -9
Sleetmute Airport                                      Sleetmute                   United States               SLQ  PASL   61.7005004883 -157.166000366   190    -9
St Michael Airport                                     St. Michael                 United States               SMK  PAMK     63.49010086   -162.1100006    98    -9
St Paul Island Airport                                 St. Paul Island             United States               SNP  PASN    57.167301178-170.2200012207    63    -9
St George Airport                                      Point Barrow                United States               STG  PAPB   56.5783004761 -169.662002563   125    -9
Savoonga Airport                                       Savoonga                    United States               SVA  PASA   63.6864013672-170.4929962158    53    -9
Sparrevohn LRRS Airport                                Sparrevohn                  United States               SVW  PASV     61.09740067   -155.5740051  1585    -9
Seward Airport                                         Seward                      United States               SWD  PAWD   60.1268997192-149.4190063477    22    -9
Soldotna Airport                                       Soldotna                    United States               SXQ  PASX   60.4757003784 -151.033996582   113    -9
Talkeetna Airport                                      Talkeetna                   United States               TKA  PATK   62.3204994202-150.0939941406   358    -9
Tok Junction Airport                                   Tok                         United States               TKJ  PFTO     63.32949829   -142.9539948  1639    -9
Teller Airport                                         Teller                      United States               TLA  PATE   65.2404022217 -166.339004517   294    -9
Tatalina LRRS Airport                                  Tatalina                    United States               TLJ  PATL   62.8944015503 -155.977005005   964    -9
Tin City Long Range Radar Station Airport              Tin City                    United States               TNC  PATC     65.56310272   -167.9219971   271    -9
Togiak Airport                                         Togiak Village              United States               TOG  PATG   59.0527992249-160.3970031738    21    -9
Unalakleet Airport                                     Unalakleet                  United States               UNK  PAUN     63.88840103    -160.798996    27    -9
Indian Mountain LRRS Airport                           Indian Mountains            United States               UTO  PAIM     65.99279785   -153.7039948  1273    -9
Ugnu-Kuparuk Airport                                   Kuparuk                     United States               UUK  PAKU   70.3308029175 -149.598007202    67    -9
Chevak Airport                                         Chevak                      United States               VAK  PAVA         61.5409      -165.6005    75    -9
Valdez Pioneer Field                                   Valdez                      United States               VDZ  PAVD     61.13389969   -146.2480011   121    -9
Venetie Airport                                        Venetie                     United States               VEE  PAVE   67.0086975098 -146.365997314   574    -9
Wales Airport                                          Wales                       United States               WAA  PAIW       65.622593       -168.095    22    -9
Beaver Airport                                         Beaver                      United States               WBQ  PAWB    66.362197876 -147.406997681   359    -9
Aleknagik / New Airport                                Aleknagik                   United States               WKK  5A8    59.2826004028 -158.617996216    66    -9
Selawik Airport                                        Selawik                     United States               WLK  PASK     66.60009766   -159.9859924    17    -9
White Mountain Airport                                 White Mountain              United States               WMO  PAWM    64.689201355 -163.412994385   267    -9
Napakiak Airport                                       Napakiak                    United States               WNA  PANA   60.6902999878-161.9790039063    17    -9
Wrangell Airport                                       Wrangell                    United States               WRG  PAWG     56.48429871   -132.3699951    49    -9
South Naknek Nr 2 Airport                              South Naknek                United States               WSN  PFWS   58.7033996582 -157.007995605   162    -9
Noatak Airport                                         Noatak                      United States               WTK  PAWN   67.5661010742-162.9750061035    88    -9
Yakutat Airport                                        Yakutat                     United States               YAK  PAYA   59.5032997131 -139.660003662    33    -9
Clear Airport                                          Clear Mews                  United States               Z84  PACL       64.301201    -149.119995   552    -9
Arcata Airport                                         Arcata CA                   United States               ACV  KACV    40.978099823-124.1090011597   221    -8
Walla Walla Regional Airport                           Walla Walla                 United States               ALW  KALW     46.09489822    -118.288002  1194    -8
Napa County Airport                                    Napa                        United States               APC  KAPC         38.2132    -122.280998    35    -8
Astoria Regional Airport                               Astoria                     United States               AST  KAST    46.158000946 -123.878997803    15    -8
Catalina Airport                                       Catalina Island             United States               AVX  KAVX         33.4049       -118.416  1602    -8
